Altitude [ft],Latitude,Longitude,Altitude [km],Altitude [Pa],H2O [kg],H2 [kg],NO [kg]
500.0,-35.5,150.5,0.1524,99507.44,136914880.0,1414848.1,40760.555
500.0,50.5,4.5,0.1524,99507.44,300203230.0,3116716.5,91002.58
1500.0,-35.5,150.5,0.45720002,95951.69,310426000.0,3442836.5,114707.625
1500.0,50.5,4.5,0.45720002,95951.69,570947400.0,6347653.0,214752.33
2500.0,-35.5,150.5,0.762,92499.53,364378780.0,4350506.5,161081.86
2500.0,50.5,4.5,0.762,92499.53,530545150.0,6374310.5,238538.66
3500.0,-35.5,150.5,1.0668,89148.64,358710850.0,4620159.5,185152.48
3500.0,50.5,4.5,1.0668,89148.64,129205896.0,1628239.9,64745.14
3500.0,51.5,4.5,1.0668,89148.64,355095260.0,4699911.5,190905.03
4500.0,-35.5,150.5,1.3716,85896.73,350505500.0,4971805.5,205258.5
4500.0,51.5,4.5,1.3716,85896.73,478886500.0,6901440.0,285905.12
5500.0,-35.5,150.5,1.6764001,82741.55,340996830.0,5307831.5,221602.62
5500.0,51.5,4.5,1.6764001,82741.55,466864350.0,7378749.5,308171.7
6500.0,-35.5,150.5,1.9812001,79680.87,332384260.0,5621932.0,234393.25
6500.0,51.5,4.5,1.9812001,79680.87,454905860.0,7755252.5,323027.62
7500.0,-35.5,150.5,2.286,76712.516,333752580.0,5762414.5,238243.36
7500.0,51.5,4.5,2.286,76712.516,449286560.0,7763435.5,320486.7
8500.0,-35.5,150.5,2.5908,73834.35,365530270.0,6325159.5,258893.31
8500.0,51.5,4.5,2.5908,73834.35,445282900.0,7703693.5,315089.8
9500.0,-35.5,150.5,2.8956,71044.26,254394270.0,3999117.5,155254.92
9500.0,51.5,4.5,2.8956,71044.26,440466180.0,7437005.5,300435.3
10500.0,-35.5,150.5,3.2004,68340.16,235750830.0,2793487.5,81555.414
10500.0,51.5,4.5,3.2004,68340.16,559803300.0,7558941.0,262298.97
11500.0,-35.5,150.5,3.5052,65720.01,239021680.0,2546157.2,62180.598
11500.0,51.5,4.5,3.5052,65720.01,558053760.0,5932668.5,146994.62
12500.0,-35.5,150.5,3.81,63181.8,241534940.0,2305643.5,43606.957
12500.0,51.5,4.5,3.81,63181.8,490007800.0,4556863.5,80008.8
13500.0,-35.5,150.5,4.1148005,60723.56,238600290.0,2101344.5,30178.266
13500.0,51.5,4.5,4.1148005,60723.56,554259400.0,4859293.0,68371.6
14500.0,-35.5,150.5,4.4196,58343.348,230459620.0,2011937.2,27283.72
14500.0,51.5,4.5,4.4196,58343.348,585854800.0,5108173.0,68500.35
15500.0,-35.5,150.5,4.7244,56039.254,222387230.0,1931844.4,25038.87
15500.0,51.5,4.5,4.7244,56039.254,599812400.0,5203560.5,66606.38
16500.0,-35.5,150.5,5.0292,53809.4,214446820.0,1853431.1,22880.31
16500.0,51.5,4.5,5.0292,53809.4,600608830.0,5184132.5,63165.38
17500.0,-35.5,150.5,5.334,51651.938,94863760.0,816765.2,9702.288
17500.0,-35.5,151.5,5.334,51651.938,111638280.0,958605.1,11071.291
17500.0,51.5,4.5,5.334,51651.938,592378560.0,5086137.5,58687.43
18500.0,-35.5,151.5,5.6388,49565.066,198535100.0,1697616.8,18731.312
18500.0,51.5,4.5,5.6388,49565.066,579414400.0,4947752.0,53774.656
19500.0,-35.5,151.5,5.9436,47546.996,190686640.0,1621502.9,16784.22
19500.0,51.5,4.5,5.9436,47546.996,564298000.0,4791598.0,48743.797
20500.0,-35.5,151.5,6.2483997,45595.984,182767950.0,1545181.8,14883.187
20500.0,51.5,4.5,6.2483997,45595.984,548057100.0,4626652.0,43717.28
